manufacturer,capacity_scenario,capacity_scenario_probability,capacity
AJ_Vaccines,base_capacity,0.8418,"[7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0]"
BB_NCIPD,base_capacity,0.8418,"[39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0]"
Bharat_Biotech,base_capacity,0.8418,"[61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0]"
Bilthoven,base_capacity,0.8418,"[12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0]"
Biological_E,base_capacity,0.8418,"[164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0]"
China_National,base_capacity,0.8418,"[12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0]"
GSK,base_capacity,0.8418,"[226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0]"
Haffkine_Bio,base_capacity,0.8418,"[80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0]"
LG_Chem,base_capacity,0.8418,"[43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0]"
Merck_Sharp,base_capacity,0.8418,"[56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0]"
PT_Bio,base_capacity,0.8418,"[45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0]"
Panacea_Biotec,base_capacity,0.8418,"[10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0]"
Pfizer,base_capacity,0.8418,"[83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0]"
Sanofi,base_capacity,0.8418,"[87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0]"
Serum_Institute,base_capacity,0.8418,"[587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0]"
AJ_Vaccines,IPV_Shortage,0.0173,"[7711003.0, 7711003.0, 7094122.0, 6939902.0, 7479673.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0]"
BB_NCIPD,IPV_Shortage,0.0173,"[39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0]"
Bharat_Biotech,IPV_Shortage,0.0173,"[61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0]"
Bilthoven,IPV_Shortage,0.0173,"[12048153.0, 12048153.0, 11084301.0, 10843338.0, 11686709.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0]"
Biological_E,IPV_Shortage,0.0173,"[164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0]"
China_National,IPV_Shortage,0.0173,"[12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0]"
GSK,IPV_Shortage,0.0173,"[226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0]"
Haffkine_Bio,IPV_Shortage,0.0173,"[80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0]"
LG_Chem,IPV_Shortage,0.0173,"[43702188.0, 43702188.0, 43493336.0, 43441123.0, 43623868.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0]"
Merck_Sharp,IPV_Shortage,0.0173,"[56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0]"
PT_Bio,IPV_Shortage,0.0173,"[45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0]"
Panacea_Biotec,IPV_Shortage,0.0173,"[10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0]"
Pfizer,IPV_Shortage,0.0173,"[83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0]"
Sanofi,IPV_Shortage,0.0173,"[87429432.0, 87429432.0, 82259017.0, 80966413.0, 85490526.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0]"
Serum_Institute,IPV_Shortage,0.0173,"[587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0]"
AJ_Vaccines,pandemic,0.0275,"[7711003.0, 7711003.0, 7094122.0, 3886345.120000001, 4861787.45, 7248342.819999999, 7711003.0, 7711003.0, 7711003.0, 7711003.0]"
BB_NCIPD,pandemic,0.0275,"[39223956.0, 39223956.0, 39223956.0, 21965415.36, 25495571.4, 36870518.64, 39223956.0, 39223956.0, 39223956.0, 39223956.0]"
Bharat_Biotech,pandemic,0.0275,"[61029105.0, 61029105.0, 61029105.0, 34176298.8, 39668918.25, 57367358.7, 61029105.0, 61029105.0, 61029105.0, 61029105.0]"
Bilthoven,pandemic,0.0275,"[12048153.0, 12048153.0, 11084301.0, 6072269.28, 7596360.850000001, 11325263.82, 12048153.0, 12048153.0, 12048153.0, 12048153.0]"
Biological_E,pandemic,0.0275,"[164885690.0, 164885690.0, 164885690.0, 92335986.4, 107175698.5, 154992548.6, 164885690.0, 164885690.0, 164885690.0, 164885690.0]"
China_National,pandemic,0.0275,"[12812242.0, 12812242.0, 12812242.0, 7174855.52, 8327957.300000001, 12043507.48, 12812242.0, 12812242.0, 12812242.0, 12812242.0]"
GSK,pandemic,0.0275,"[226762686.0, 226762686.0, 226762686.0, 126987104.16, 147395745.9, 213156924.84, 226762686.0, 226762686.0, 226762686.0, 226762686.0]"
Haffkine_Bio,pandemic,0.0275,"[80972855.0, 80972855.0, 80972855.0, 45344798.8, 52632355.75, 76114483.7, 80972855.0, 80972855.0, 80972855.0, 80972855.0]"
LG_Chem,pandemic,0.0275,"[43702188.0, 43702188.0, 43493336.0, 24327028.88, 28355514.2, 41080056.72, 43702188.0, 43702188.0, 43702188.0, 43702188.0]"
Merck_Sharp,pandemic,0.0275,"[56991052.0, 56991052.0, 56991052.0, 31914989.12, 37044183.8, 53571588.88, 56991052.0, 56991052.0, 56991052.0, 56991052.0]"
PT_Bio,pandemic,0.0275,"[45911731.0, 45911731.0, 45911731.0, 25710569.36, 29842625.15, 43157027.14, 45911731.0, 45911731.0, 45911731.0, 45911731.0]"
Panacea_Biotec,pandemic,0.0275,"[10874165.0, 10874165.0, 10874165.0, 6089532.4, 7068207.25, 10221715.1, 10874165.0, 10874165.0, 10874165.0, 10874165.0]"
